epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,10734.8,0.39329,0.27203,0.89581,0.98537,0.97345,0.98935,0.96362,0.23126,0.13482,0.78565,0.0132938,0.00443125,0.0132938,0.00443125,0.0132938,0.00443125,0.0132938,0.00443125
47,10965.8,0.38848,0.26986,0.89152,0.98502,0.97431,0.98954,0.96374,0.23104,0.1342,0.78549,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
48,11196.1,0.38914,0.26722,0.89276,0.98663,0.97378,0.9897,0.9638,0.23097,0.13394,0.78543,0.0125512,0.00418375,0.0125512,0.00418375,0.0125512,0.00418375,0.0125512,0.00418375
49,11423.8,0.38739,0.2668,0.89205,0.98535,0.97429,0.98975,0.96412,0.23083,0.13336,0.78536,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
50,11654.8,0.38682,0.26365,0.89268,0.98497,0.97432,0.98975,0.96403,0.23061,0.13299,0.78529,0.0118087,0.00393625,0.0118087,0.00393625,0.0118087,0.00393625,0.0118087,0.00393625
51,11884.6,0.38334,0.26481,0.89338,0.98683,0.97243,0.98977,0.96427,0.23037,0.13296,0.78526,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
52,12113.8,0.38178,0.25978,0.88966,0.98706,0.9732,0.98983,0.96431,0.23015,0.13298,0.78516,0.0110663,0.00368875,0.0110663,0.00368875,0.0110663,0.00368875,0.0110663,0.00368875
53,12350.4,0.38043,0.2583,0.88945,0.98559,0.97301,0.98973,0.96469,0.23,0.1326,0.78514,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
54,12581.7,0.37827,0.25429,0.88673,0.9852,0.97476,0.98976,0.9652,0.22984,0.13267,0.78502,0.0103237,0.00344125,0.0103237,0.00344125,0.0103237,0.00344125,0.0103237,0.00344125
55,12810.6,0.37529,0.25539,0.88911,0.9858,0.97457,0.98987,0.96475,0.22968,0.13291,0.78502,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
56,13037.2,0.37324,0.25125,0.88575,0.98626,0.97354,0.98951,0.96488,0.22966,0.13305,0.78494,0.00958125,0.00319375,0.00958125,0.00319375,0.00958125,0.00319375,0.00958125,0.00319375
57,13264.3,0.37057,0.24824,0.88599,0.98759,0.97281,0.98946,0.96507,0.22945,0.13275,0.78487,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
58,13492,0.36997,0.24443,0.88363,0.98449,0.97466,0.9887,0.96479,0.22924,0.13276,0.78472,0.00883875,0.00294625,0.00883875,0.00294625,0.00883875,0.00294625,0.00883875,0.00294625
59,13719.5,0.36842,0.24444,0.8835,0.98474,0.97618,0.98866,0.96435,0.22913,0.13254,0.78465,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
60,13948.4,0.36995,0.24343,0.88648,0.98574,0.97674,0.98871,0.96453,0.22905,0.13173,0.78464,0.00809625,0.00269875,0.00809625,0.00269875,0.00809625,0.00269875,0.00809625,0.00269875
61,14175.3,0.36514,0.24019,0.88277,0.98604,0.97574,0.9887,0.96457,0.22892,0.13145,0.78456,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
62,14401.2,0.36292,0.23566,0.88076,0.98619,0.97719,0.98872,0.96481,0.22875,0.13104,0.78442,0.00735375,0.00245125,0.00735375,0.00245125,0.00735375,0.00245125,0.00735375,0.00245125
63,14629.8,0.36382,0.23588,0.88405,0.98618,0.97729,0.98876,0.96528,0.22854,0.13033,0.78431,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
64,14856.4,0.36168,0.23513,0.88269,0.98584,0.97739,0.98872,0.96523,0.22845,0.13019,0.78433,0.00661125,0.00220375,0.00661125,0.00220375,0.00661125,0.00220375,0.00661125,0.00220375
65,15088.9,0.36024,0.23307,0.88262,0.98638,0.97677,0.98871,0.9653,0.22839,0.13,0.78441,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
66,15321.4,0.35489,0.22873,0.8793,0.98733,0.97579,0.98871,0.96477,0.22821,0.12958,0.78432,0.00586875,0.00195625,0.00586875,0.00195625,0.00586875,0.00195625,0.00586875,0.00195625
67,15593.9,0.35435,0.22787,0.88202,0.98732,0.97546,0.98876,0.96491,0.22811,0.12935,0.78435,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
68,15834.4,0.34986,0.22431,0.87806,0.98747,0.97471,0.98877,0.96517,0.22816,0.12921,0.78438,0.00512625,0.00170875,0.00512625,0.00170875,0.00512625,0.00170875,0.00512625,0.00170875
69,16074.1,0.35007,0.22067,0.87833,0.98746,0.97426,0.98876,0.96503,0.22815,0.12875,0.78443,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
70,16299.3,0.3499,0.2229,0.87963,0.98675,0.97591,0.98879,0.96525,0.22804,0.1287,0.78446,0.00438375,0.00146125,0.00438375,0.00146125,0.00438375,0.00146125,0.00438375,0.00146125
71,16534.2,0.24677,0.15493,0.79304,0.98782,0.97395,0.98871,0.96519,0.22796,0.12827,0.78459,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
72,16767.5,0.24221,0.14854,0.79013,0.98912,0.9742,0.98874,0.96486,0.22778,0.12822,0.78456,0.00364125,0.00121375,0.00364125,0.00121375,0.00364125,0.00121375,0.00364125,0.00121375
73,17000.9,0.23981,0.1459,0.79143,0.98893,0.97391,0.98868,0.96539,0.22765,0.12817,0.78474,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
74,17230.5,0.23835,0.14241,0.79104,0.98852,0.97379,0.98858,0.96509,0.22776,0.12807,0.78506,0.00289875,0.00096625,0.00289875,0.00096625,0.00289875,0.00096625,0.00289875,0.00096625
75,17461.9,0.23648,0.14011,0.79133,0.98796,0.97374,0.9885,0.96485,0.22771,0.12796,0.78523,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
76,17691.3,0.2336,0.13726,0.78996,0.98815,0.97365,0.98846,0.9648,0.22779,0.12784,0.78541,0.00215625,0.00071875,0.00215625,0.00071875,0.00215625,0.00071875,0.00215625,0.00071875
77,17921.5,0.23249,0.13417,0.78824,0.98675,0.97593,0.98845,0.96411,0.22802,0.12778,0.78572,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
78,18156,0.23008,0.12987,0.78945,0.98734,0.97462,0.98839,0.96451,0.228,0.12776,0.78565,0.00141375,0.00047125,0.00141375,0.00047125,0.00141375,0.00047125,0.00141375,0.00047125
79,18388.1,0.2271,0.12668,0.78704,0.98605,0.97627,0.98832,0.96452,0.22799,0.12779,0.7856,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475
80,18620.2,0.2252,0.12322,0.78651,0.98613,0.97595,0.98825,0.96447,0.22807,0.12759,0.78566,0.00067125,0.00022375,0.00067125,0.00022375,0.00067125,0.00022375,0.00067125,0.00022375
